"days","eth"
"1282","2198.58252"
"1283","2324.679443"
"1284","2315.161865"
"1285","2120.026367"
"1286","2146.692383"
"1287","2111.403564"
"1288","2139.664795"
"1289","2036.721069"
"1290","1940.083984"
"1291","1994.331299"
"1292","1911.175659"
"1293","1880.382935"
"1294","1898.825195"
"1295","1895.552124"
"1296","1817.296631"
"1297","1787.510742"
"1298","1990.970825"
"1299","2025.202759"
"1300","2124.776611"
"1301","2189.21875"
"1302","2191.373779"
"1303","2233.366699"
"1304","2298.333496"
"1305","2296.54541"
"1306","2380.956787"
"1307","2466.961426"
"1308","2536.209961"
"1309","2561.852051"
"1310","2610.15332"
"1311","2502.349609"
"1312","2724.619873"
"1313","2827.328857"
"1314","2890.94165"
"1315","3157.23877"
"1316","3013.732666"
"1317","3167.856201"
"1318","3141.691162"
"1319","3164.245117"
"1320","3043.414307"
"1321","3322.21167"
"1322","3265.443359"
"1323","3310.50415"
"1324","3156.509521"
"1325","3014.845947"
"1326","3020.089844"
"1327","3182.702148"
"1328","3286.935303"
"1329","3226.083984"
"1330","3242.115479"
"1331","3319.257324"
"1332","3172.456299"
"1333","3224.915283"
"1334","3100.325439"
"1335","3270.60083"
"1336","3244.40332"
"1337","3227.002686"
"1338","3224.374268"
"1339","3433.732666"
"1340","3834.828125"
"1341","3790.98999"
"1342","3940.614746"
"1343","3887.828369"
"1344","3952.133545"
"1345","3928.379395"
"1346","3426.394287"
"1347","3497.315186"
"1348","3427.340088"
"1349","3211.505859"
"1350","3270.278076"
"1351","3410.134521"
"1352","3285.511719"
"1353","3429.169678"
"1354","3615.282715"
"1355","3571.294922"
"1356","3398.538818"
"1357","3432.018311"
"1358","3329.447998"
"1359","2958.993408"
"1360","2764.431152"
"1361","3077.86792"
"1362","3155.523682"
"1363","2931.669189"
"1364","2925.565674"
"1365","3062.265381"
"1366","2934.138916"
"1367","2807.296631"
"1368","2853.143311"
"1369","3001.678955"
"1370","3307.516113"
"1371","3391.694336"
"1372","3418.358643"
"1373","3380.089111"
"1374","3518.518555"
"1375","3580.562012"
"1376","3587.974854"
"1377","3563.759277"
"1378","3575.716797"
"1379","3425.852783"
"1380","3545.354004"
"1381","3492.573242"
"1382","3606.20166"
"1383","3786.01416"
"1384","3862.634766"
"1385","3830.38208"
"1386","3847.104492"
"1387","3748.760254"
"1388","3877.650879"
"1389","4155.992188"
"1390","4054.322754"
"1391","3970.181885"
"1392","4171.663574"
"1393","4087.903076"
"1394","4217.876953"
"1395","4131.102051"
"1396","3930.257324"
"1397","4287.318848"
"1398","4414.746582"
"1399","4325.650391"
"1400","4288.074219"
"1401","4324.626953"
"1402","4584.798828"
"1403","4607.193848"
"1404","4537.324219"
"1405","4486.243164"
"1406","4521.581055"
"1407","4620.554688"
"1408","4812.087402"
"1409","4735.068848"
"1410","4636.174316"
"1411","4730.384277"
"1412","4667.115234"
"1413","4651.460449"
"1414","4626.358887"
"1415","4557.503906"
"1416","4216.365234"
"1417","4287.59375"
"1418","4000.650879"
"1419","4298.306641"
"1420","4409.931152"
"1421","4269.73291"
"1422","4088.457764"
"1423","4340.763672"
"1424","4239.981445"
"1425","4274.743164"
"1426","4030.908936"
"1427","4096.912109"
"1428","4294.453613"
"1429","4445.10498"
"1430","4631.479004"
"1431","4586.990234"
"1432","4511.302246"
"1433","4220.706055"
"1434","4119.587402"
"1435","4198.322754"
"1436","4358.737305"
"1437","4315.061523"
"1438","4439.35791"
"1439","4119.815918"
"1440","3908.496094"
"1441","4084.452393"
"1442","4134.453125"
"1443","3784.226807"
"1444","3745.44043"
"1445","4018.388672"
"1446","3962.469727"
"1447","3879.486572"
"1448","3960.860107"
"1449","3922.592529"
"1450","3933.844482"
"1451","4020.26001"
"1452","3982.099609"
"1453","4108.015625"
"1454","4047.98291"
"1455","4093.281006"
"1456","4067.328125"
"1457","4037.547607"
"1458","3800.893066"
